Polarity_result
{'neg': 0.0, 'neu': 0.206, 'pos': 0.794, 'compound': 0.8271}
{'neg': 0.445, 'neu': 0.555, 'pos': 0.0, 'compound': -0.3412}
{'neg': 0.34, 'neu': 0.66, 'pos': 0.0, 'compound': -0.5574}
{'neg': 0.093, 'neu': 0.585, 'pos': 0.322, 'compound': 0.6908}
{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.6249}
{'neg': 0.392, 'neu': 0.523, 'pos': 0.085, 'compound': -0.6908}
{'neg': 0.282, 'neu': 0.718, 'pos': 0.0, 'compound': -0.2411}
{'neg': 0.0, 'neu': 0.81, 'pos': 0.19, 'compound': 0.5719}
{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}
{'neg': 0.0, 'neu': 0.328, 'pos': 0.672, 'compound': 0.6249}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.116, 'neu': 0.884, 'pos': 0.0, 'compound': -0.3875}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.19, 'neu': 0.503, 'pos': 0.307, 'compound': 0.2732}
{'neg': 0.391, 'neu': 0.609, 'pos': 0.0, 'compound': -0.5423}
{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.2716}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.314, 'neu': 0.686, 'pos': 0.0, 'compound': -0.3952}
{'neg': 0.345, 'neu': 0.655, 'pos': 0.0, 'compound': -0.2755}
{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}
{'neg': 0.0, 'neu': 0.345, 'pos': 0.655, 'compound': 0.5859}
{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.4588}
{'neg': 0.0, 'neu': 0.496, 'pos': 0.504, 'compound': 0.7964}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.5777}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.601, 'pos': 0.399, 'compound': 0.8074}
{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0.5984}
{'neg': 0.451, 'neu': 0.549, 'pos': 0.0, 'compound': -0.6249}
